id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Christine;Bartell;Ronny_Ryan@hotmail.com;Chief Credit Card Account;2019-06-08T17:40:51;32654;8849
2;Keyon;Dietrich;Alvera84@yahoo.com;compress South Georgia and the South Sandwich Islands;2019-06-09T01:43:25;35675;96525
3;Earl;Moen;Doug80@yahoo.com;Small;2019-06-08T16:07:14;42340;77224
4;Godfrey;Dooley;Abner.Ankunding70@gmail.com;application quantify Unbranded Plastic Tuna;2019-06-09T13:01:29;91495;86310
5;Rossie;Mueller;Eryn37@yahoo.com;Lempira;2019-06-08T23:49:25;72960;59129
6;Louvenia;Goodwin;Kelley.Kovacek@hotmail.com;bus synthesize Idaho;2019-06-08T21:18:09;25606;49379
7;Aliza;Lebsack;Hester43@hotmail.com;red;2019-06-08T18:18:27;63641;47537
8;Emelie;MacGyver;Maureen24@yahoo.com;relationships override;2019-06-09T10:18:52;94285;7697
9;Lavinia;Green;Caroline_Thompson80@hotmail.com;deposit;2019-06-08T18:53:27;45653;80367
10;Cyrus;Dibbert;Simone.Tillman@yahoo.com;Fresh granular Direct;2019-06-09T09:16:28;22793;64769
